product_id,price,order_date,change
102354faa8ce91507a6b3c45126c02ac,11.7,2021-01-05T21:30:08.000+03:00,fall
102354faa8ce91507a6b3c45126c02ac,11.85,2021-01-12T06:48:08.000+03:00,rise
103faf7a85b506b5476290279c311689,6.99,2021-01-22T20:36:01.000+03:00,rise
1066692081e1e528b99de26dfdbea33,5.29,2021-01-15T17:45:24.000+03:00,rise
108376bba8d4350566a10bfc04ae31b,246.65,2021-01-12T01:09:15.000+03:00,fall
109a1bfadd999e9553b20e6b3f391545,45.75,2021-01-12T12:30:03.000+03:00,rise
109a1bfadd999e9553b20e6b3f391545,49.99,2021-01-16T01:30:59.000+03:00,rise
109a1bfadd999e9553b20e6b3f391545,54.4,2021-01-19T22:35:36.000+03:00,rise
109a8306702bbfc5000543688b95765,259.95,2021-01-24T03:56:18.000+03:00,rise
10cfb47ed5ce15d0d9cc952bbfe07342,14.4,2021-01-12T22:42:56.000+03:00,fall
10cfb47ed5ce15d0d9cc952bbfe07342,15.8,2021-01-18T18:12:11.000+03:00,rise
10cfb47ed5ce15d0d9cc952bbfe07342,14.9,2021-01-19T22:46:20.000+03:00,fall
10ed9aa4600f824bd6f809e4605a9d66,5.95,2021-01-23T20:05:01.000+03:00,fall
10f4384c4e0f3df39c86942b2f4c2415,23.95,2021-01-22T20:59:23.000+03:00,rise
11181ca4f5d2e57d1154b048a2ddd3f8,24.7,2021-01-18T10:03:41.000+03:00,fall
1136b341329cca64485346b8561a3138,6.5,2021-01-12T18:00:35.000+03:00,rise
1137a1c3c3870e215b139cc1d2576033,1037.0,2021-01-15T23:28:26.000+03:00,rise
1137a1c3c3870e215b139cc1d2576033,1016.0,2021-01-19T11:07:43.000+03:00,fall
1160f67ac9d74c2b87c3ab94a610c26c,59.98,2021-01-22T18:08:23.000+03:00,rise
11844dd5702913f1d3c77415a2892cf2,155.0,2021-01-22T20:25:48.000+03:00,rise
