product_id,net_sales_amount,net_sales_price,gross_sales_amount,gross_sales_price,average_sales_amount_of_last_5_selling_days,top_selling_location
10c86870829e46521b73a20e9086514a,11,1429.4500000000003,11,1429.4500000000003,5.5,Bayburt
10c9fa78f246f469a6b1485dc0147315,1,88.9,1,88.9,1.0,Bayburt
10ca84258be9962e4bb73b5409c3e9ee,1,54.9,1,54.9,1.0,Ankara
10cac1865b03b22be2052613d7a7730e,2,99.98,2,99.98,2.0,Muğla
10d1d945e8da3c5bbc7615cceff45f9c,1,118.99,1,118.99,1.0,İstanbul
10d1da602f9dd36dfb701d6106f2a9b3,1,41.5,1,41.5,1.0,İstanbul
10d21fd10f0b50d942b7d906293300af,1,77.76,1,77.76,1.0,Muğla
10d22f1799c1c1cdd33664d712d004a3,6,539.9399999999999,6,539.9399999999999,1.0,İzmir
10d87f37eebffd202f836c429110da69,2,25.03,3,38.93,1.5,Muğla
10daf382ad8ab195351b2bbc9e4461fe,2,179.98,2,179.98,1.0,Ankara
10dbc38f84837dbeff0925cdf367ed70,1,99.0,1,99.0,1.0,İstanbul
10dd3cc49442c2f4a797c40242facb89,1,49.96,1,49.96,1.0,Bayburt
10e0e99391a384fd065ca3cc476e5753,1,123.75,1,123.75,1.0,Aksaray
10e145e8d255640c8ed4fbab52d08fbd,1,12.5,1,12.5,1.0,Ankara
10e5ac73581c5f3ce1a7c74589b0873,1,24.9,1,24.9,1.0,Giresun
10e755dee017c0c6619e34f745d9d32d,2,181.4,2,181.4,1.0,İstanbul
10ea00df94911a00d0cfa53ebffbcac1,1,435.0,1,435.0,1.0,Bayburt
10efe062f276847fa4ac181c1b805c82,1,85.7,1,85.7,1.0,Ankara
10f01213e700d3de91ab7dbe943327c1,2,158.98,2,158.98,1.0,Muş
10f64c371d60080577dbbee3c9627a18,1,39.99,1,39.99,1.0,Antalya
10f673590a459e9eea2a8b4713ee2f19,1,19.95,1,19.95,1.0,İstanbul
10f883bd75ce9b2a0041af2f53ae4b9a,2,158.0,2,158.0,2.0,Muğla
10fb2000905990f303168aafe04d32f,2,59.98,2,59.98,1.0,Aksaray
10fb72205b09f5f9ca9a14d4fa27fe91,1,54.99,1,54.99,1.0,Ankara
10fba327ad18780d3fe4d1c74c3172b6,1,59.8,1,59.8,1.0,İzmir
1107116b21607592be54c47bc51f7565,1,5.9,1,5.9,1.0,İstanbul
110b56225f4635eef23892abfc432422,1,39.99,1,39.99,1.0,Ankara
110baf8633f01ce4060cab3256b8150f,1,4.5,1,4.5,1.0,İstanbul
110dc16ecc8f2bd03e4884468351fbd7,1,40.0,1,40.0,1.0,Muğla
110e254e0ad7e517741713dc1dc1906a,2,43.78,2,43.78,2.0,İzmir
111484f0ad2ce859d0df3cf62971a157,2,92.98,2,92.98,1.0,Muş
1114877dda930d2ee47ffdf2463d8fac,2,35.98,2,35.98,2.0,Muğla
111845541b8994e1d485ea6cdadac57a,2,8.99,2,8.99,1.0,İzmir
11190ee3083cbf936d75a47f7a69e35,1,49.99,1,49.99,1.0,Muğla
11199a1f5529a8d8fa301e542f7e3f8f,1,24.95,1,24.95,1.0,Aksaray
1121c2382be5919aec15cb9ad23349e3,1,68.0,1,68.0,1.0,Muğla
112524d5fe2a92f914f7a2c4d17b1985,2,13.82,2,13.82,1.0,Muş
11283abf447885f200b955dd6c6bd9c2,1,61.7,1,61.7,1.0,Antalya
11288e9499e14461da0ad5f741bbb1bd,1,7.95,1,7.95,1.0,Aksaray
112904f941894c4f72341f0b8b7f3c3f,1,4.9,1,4.9,1.0,Bayburt
112a63b518166dff6b093164da163dbf,1,20.0,1,20.0,1.0,Giresun
112ce1ddb9c3f912ada219cdc6fccbc1,1,49.0,1,49.0,1.0,Muş
112d6a9dec0c0ed6d647b4c42d946563,1,69.99,1,69.99,1.0,Muş
112e3834aa10bae4b754304f598f61f4,1,6.56,1,6.56,1.0,Giresun
1137a1c3c3870e215b139cc1d2576033,3,3090.0,4,4111.0,1.3333333333333333,İzmir
113a2e3e850ae0ed112dc1e0cfa150c,1,199.98,1,199.98,1.0,İstanbul
113aa62c3249d17a14efa040fcb95dd7,1,129.9,1,129.9,1.0,Bayburt
113c28e309a528168104a64963aab7ba,1,13.5,1,13.5,1.0,İstanbul
113dcae061ee8e26b2f573f61ad46797,5,119.57999999999998,5,119.57999999999998,1.0,Bayburt
113ea0b8832a427ed65a0a855f59a2c5,1,63.5,1,63.5,1.0,İzmir
1140c09bf674f81d1fc7d21dfd59af7b,1,49.99,1,49.99,1.0,İzmir
1141ac6402c98dfa4be3f4003cc1a7a6,2,24.0,2,24.0,2.0,İzmir
1143228e7e647cb0e639193b5f712e18,1,14.48,1,14.48,1.0,İstanbul
114660c6a1e27c864ac96cdd08c56ee7,1,44.99,1,44.99,1.0,Muğla
115696dee4c07887d6db901a38691432,1,29.99,1,29.99,1.0,Bayburt
1156c8dcd77eba7ab5f3cf92e199c23c,1,199.99,1,199.99,1.0,Aksaray
1157273d1c2bfbe045693132d932668b,1,99.99,1,99.99,1.0,İzmir
11583e992a8626d292352057aa001889,1,39.99,1,39.99,1.0,Aksaray
115f6c0b48496e003b5d6bd96ced50a,1,59.98,1,59.98,1.0,Bayburt
1160066421b33d27eb76de72f4d98437,2,36.78,2,36.78,1.0,İstanbul
11625ad99e87b1af7e87d2d2000c6ece,1,48.0,1,48.0,1.0,Giresun
1163775e9593a9239a6dc59a6219db5d,1,17.32,1,17.32,1.0,Aksaray
116cb11518c3a493be87933b29de8140,1,20.3,1,20.3,1.0,İzmir
116e7dda227a5122df6da62be97ceb25,1,45.44,1,45.44,1.0,İstanbul
116f54f0452cfe7b450a3a581ab13939,1,20.7,1,20.7,1.0,İstanbul
116f73e4d0da7384ff1360ed0899af03,2,85.0,2,85.0,2.0,İzmir
11717be824db7b61de2588929ac05168,1,32.99,1,32.99,1.0,Antalya
11735e3f96088182bdf83337e5061774,1,49.99,1,49.99,1.0,İzmir
11769c71b6284006bc74210c9ea9e1b,1,169.99,1,169.99,1.0,İstanbul
1177f41531d9db6501352dbe70f189c9,1,12.95,1,12.95,1.0,Ankara
117c87808680bd7e5682275ff0f51a24,2,6.5,2,6.5,1.0,İstanbul
11803377b5c50fd4fe18c1fc2d5f0aa0,1,27.99,1,27.99,1.0,Aksaray
1182ba9cb8060bf803953019c3446c25,1,14.9,1,14.9,1.0,Antalya
118337ba95d8c28e32becc1e9a4a73f3,1,134.9,1,134.9,1.0,İstanbul
1185a29ff29a9027f9f485639937ab0d,1,13.9,1,13.9,1.0,Bayburt
118f3669e6fc4570365352369093bebb,2,97.98,2,97.98,1.0,Ankara
1193b835d82c37091b9db94d2a6ac0c,1,11.95,1,11.95,1.0,Muğla
11965f710d5d665c057925fc14b3b41b,1,24.99,1,24.99,1.0,Antalya
1197157eec44eef7ff12be6f4d144638,1,114.99,1,114.99,1.0,Ankara
119b9fdb6bb38abfd956ffffdbff7f21,1,36.9,1,36.9,1.0,İzmir
11a7256e61840693e0c9fb9138078b68,6,399.93999999999994,7,469.92999999999995,1.2,İzmir
11aab0da47f9efb7fa34d1e5203b7ffb,1,19.99,1,19.99,1.0,İstanbul
11ab4dbeb1b04386ec8782f96fea435e,1,75.0,1,75.0,1.0,Giresun
11abb5b2a5e076dd19cf7f66189d9909,1,23.0,1,23.0,1.0,Ankara
11ae108f1274d30dc468c928a253ac09,1,15.7,1,15.7,1.0,Bayburt
11b24df9c80a4d89d4fb29a2d4426b63,1,89.9,1,89.9,1.0,Ankara
11b4fcdd738ddd66e859f85e5527a0e4,1,55.9,1,55.9,1.0,Ankara
11b77aaee36187ec59e8660a08f6a5b0,1,79.98,1,79.98,1.0,İstanbul
11b9c515580348754503f39c2e228390,1,69.95,1,69.95,1.0,İstanbul
11bae97b02ec24a2d7f4694c71c433e6,1,127.0,1,127.0,1.0,İstanbul
11bc42f8746034a15703db3a83eb8f3e,4,1199.6,4,1199.6,1.0,Antalya
11bdafa8a548f7bd9bd4d65f27f1dfd4,1,4.99,1,4.99,1.0,Aksaray
11be62e5d1b0cb4cbfaf26857629ea75,1,45.59,1,45.59,1.0,Bayburt
11c175c8839bf6163440aac1580d47ec,1,24.99,1,24.99,1.0,İzmir
11c6293922c26b6adf023e7d58918815,1,54.9,1,54.9,1.0,Giresun
11cc7d6cd91d77ca79d59df3032287a0,1,53.0,1,53.0,1.0,İzmir
11d115a9c6f672a8dfad4ac0decaf631,1,169.95,1,169.95,1.0,İstanbul
11d530ab285fa8d27cc36c6fe8b35355,1,16.78,1,16.78,1.0,Aksaray
11d55978e6067dc9d295487a7aaddd88,1,70.99,1,70.99,1.0,İzmir
11e07444c0d9e271a3d2e5b02d568ec2,1,37.5,1,37.5,1.0,Muğla
11e08422591ebe2292cc4b3ac2be5924,2,119.98,2,119.98,1.0,İzmir
11e15a4b1cdb1d2fceb6f7ab31b2cce3,1,9.25,1,9.25,1.0,Ankara
11e58f91cb72388c14d9bbf571ed0c2,1,16.8,1,16.8,1.0,İzmir
11e6a117344b1a6e15d5ff396053dc57,1,10.0,1,10.0,1.0,İzmir
11ead228ceda46b5e7412869452eeca9,2,59.9,2,59.9,1.0,Giresun
11ef28c602ebf68916648d5399434971,1,79.99,1,79.99,1.0,Muğla
11f0123e5dd9ab732c79b5291fa329aa,1,119.99,1,119.99,1.0,İstanbul
11f0de784ac699d889758613e700b880,2,74.0,2,74.0,2.0,İzmir
11f2f71cbd3758ba25c4ab165b1cd8c6,1,99.9,1,99.9,1.0,İstanbul
11f9e20610798fe1a76a75bfd3ea2295,2,85.98,2,85.98,2.0,Aksaray
12128b7ac1cff6206eb038ce097f4630,1,59.99,1,59.99,1.0,Giresun
121535746697f877b92769ca570774b4,1,185.0,1,185.0,1.0,Bayburt
1218ccae96a839075c377deb96af5e66,1,49.99,1,49.99,1.0,İstanbul
121d3f9bb37db8f581d22c5aa3ffb77b,1,135.5,1,135.5,1.0,Antalya
122608e64796c1bc1454fa7d004a90cb,1,59.39,1,59.39,1.0,İstanbul
1228cd0a884fd25f3cf2021e0a9b0ff7,1,30.0,1,30.0,1.0,Giresun
122cf34f9d9e889d5c9d6b05da58b8dd,1,24.99,1,24.99,1.0,İzmir
12372a18791f429f9d0e0129411ee4b2,1,16.25,1,16.25,1.0,Ankara
1239c5dc5981aede8726bd70c0d02989,1,495.0,1,495.0,1.0,Giresun
123d209899e27ec2a9fe2fa23146b981,1,79.99,1,79.99,1.0,İzmir
12455bc5d3ba2741bf1ea61cf7b6b94e,1,169.0,1,169.0,1.0,İstanbul
124702d2286dc05a7885d1cfa482e73e,1,92.89,1,92.89,1.0,Muğla
1248b2c7debc27fcfaa4abc9c2fd0586,1,12.95,1,12.95,1.0,İzmir
